Month,UPI_Volume_inlakhs,UPI_Value_inCr,Credit_Volume_inlakhs,Credit_Value_inCr,Debit_Volume_inlakhs,Debit_Value_inCr,ATM_Debit_Volume_inlakhs,ATM_Debit_Value_inCr
2021-02-01,22928.94,425062.76,1613.77459,60104.54440012,3445.46487,59226.6709259,5502.1859,258100.15134247
2021-03-01,27316.85,504886.45,1887.27091,72318.81689733,3763.05309,67386.40763227,6003.6797,283954.60928824
2021-04-01,26410.61,493663.68,1575.31597,59049.12310267,3213.23241,56183.10469861,5222.46818,254396.57897062
2021-05-01,25291.82,489105.61,1344.73103,52013.86915717,2556.59647,43225.10196446,4139.6601,201977.90531099
2021-06-01,28075.16,547373.16,1547.00942,62746.02123833,2946.74079,51043.57134184,4732.0374,228680.85308728
2021-07-01,32455.01925,605883.20220325,1820.48822,74884.76330914,3405.36735,61087.4380805,5344.69838,253780.20312225
2021-08-01,35555.45,639116.95,1904.70608,77733.01653802,3588.29212,64866.74505667,5652.37152,261683.22859576
2021-09-01,36558.17,654648.28,1847.20792,80227.75376321,3490.29003,62589.0509137,5508.81882,256766.62358611
2021-10-01,42184.32177,771406.98756834,2155.81179,100942.7795994,3852.94885,76470.50990515,5998.03386,288604.72525782
2021-11-01,41864.8,768436.0,2011.16,89216.84,3407.0169,67109.35819605,5653.67886,270515.08824097
2021-12-01,45662.99,826848.23,2112.58709,93907.23136164,3499.21321,66491.0344739,5889.13916,279099.503409
2022-01-01,46171.56,831993.09,1958.05371,87768.51808096,3192.99517,60025.35902463,5519.66228,261123.84723919
2022-02-01,45274.89,826843.02,1884.23984,86041.03045858,2956.22576,57070.11748324,5263.17207,255218.03015804
2022-03-01,54056.51,960581.67,2237.51212,107106.73616514,3275.18914,64051.86536402,5927.87053,285892.55353523
2022-04-01,55843.88,983573.45,2229.30163,105459.202747038,3311.86797,65061.6729307542,5792.96526,285011.12435224
2022-05-01,59462.89,1040220.53,2378.03107,113693.594173188,3315.64775,65799.907473401,5829.01359,278832.7767005
2022-06-01,58629.08,1014412.62,2279.45728,108751.633649997,3089.98653,60884.79270539,5690.79212,269935.471487439
2022-07-01,62893.4,1063117.04,2348.33761,115855.731511351,3133.46528,64514.961479738,5735.51845,270609.048199317
2022-08-01,65819.06,1073162.17,2447.83112,112357.556157457,3033.46938,62158.655007326,5723.84459,267288.749811409
2022-09-01,67807.99775,1116438.08995362,2453.05576,122093.835733839,2899.37815,61203.914227416,5684.15012,263765.233251698
2022-10-01,73054.21,1211587.5,2554.01954,129048.201890468,2962.37803,66950.293638923,6078.30447,290556.589965747
2022-11-01,73094.4703,1190593.39340752,2347.73323,114793.948504411,2608.28281,55593.676854854,5568.42372,264180.382084899
2022-12-01,78288.95,1281970.86,2556.46505,126523.68982179,2667.10247,58626.039558742,5850.32896,278927.157300544
