Month,UPI_Volume_inlakhs,UPI_Value_inCr,Credit_Volume_inlakhs,Credit_Value_inCr,Debit_Volume_inlakhs,Debit_Value_inCr,ATM_Debit_Volume_inlakhs,ATM_Debit_Value_inCr,UPI_ATV,Debit_ATV,Credit_ATV,ATM_Debit_ATV
2019-11-01,12187.70742,189229.0891084,1762.12447,60130.24837699,4180.83816511,58208.68566903,6236.8864568,281337.84982053,1552.6225120720856,1392.2731129560118,3412.372360789587,4510.870155633358
2019-12-01,13084.01713,202520.7585663,2036.63822,65735.760462,4448.7488,62752.44962681,6453.49566,289534.90439085,1547.848466981486,1410.5640135673652,3227.660161557805,4486.481740205431
2020-01-01,13050.19232,216242.974143,2017.27299,66572.86103046,4500.84588,62871.18627824,6495.686,294174.32186872,1657.0098649933152,1396.8748976190227,3300.1413968498136,4528.764504145059
2020-02-01,13256.93237,222516.95003,1882.94,62147.0,4245.74409,58560.85213342,6148.832,281926.94376221,1678.495022977929,1379.2836047596074,3300.5300221993266,4585.048733844249
2020-03-01,12468.4455,206462.3070262,1638.57148,50574.15084107,3608.1258,48208.95079193,5409.61045,247428.94623539,1655.8784896336917,1336.1216726958355,3086.4781584670322,4573.877334095101
2020-04-01,9995.74376,151140.6642718,768.53233,20764.7694992,2053.66204,23250.48256785,2935.25792,128559.71099565,1512.0502075755492,1132.1474573221403,2701.8732574594487,4379.843764995276
2020-05-01,12344.97198,218391.5954934,1028.86387,32225.02203987,2658.81667,37983.79281136,4058.60492,195283.41892918,1769.0732376486123,1428.5976630107407,3132.097741936453,4811.58976491804
2020-06-01,13369.30941,261835.0009801,1248.54866,42772.82635118,3002.33734,47711.04166959,4695.02654,228733.4945002,1958.4781303980608,1589.1299433257557,3425.8037128629016,4871.825378439714
2020-07-01,14973.54,290537.86,1319.66372,45558.01705071,3161.93045,50324.95929037,4661.48431,231210.40856447,1940.3418296541765,1591.5896976914848,3452.2444135017968,4960.016878496584
2020-08-01,16188.28462,298307.60926612,1425.10546,50311.00028764,3389.42109,54770.06691859,4834.49647,235549.49433045,1842.7376109854931,1615.9121414621868,3530.3352418311556,4872.265308127322
2020-09-01,18001.67,329031.84,1486.70569,51133.75013293,3507.81077,55366.35376428,5038.61002,240204.74868312,1827.7850888278701,1578.373446988419,3439.39963887069,4767.282002966366
2020-10-01,20716.19,386106.7351691,1718.03116,64651.53130129,3932.66485,69140.96481503,5626.50469,267747.22196473,1863.7922087463962,1758.1199378083286,3763.117503718035,4758.677664316139
2020-11-01,22102.28383,390999.18529922,1662.57534,62349.76143805,3765.74526,67888.78782897,5853.65701,276796.54801592,1769.0442684864388,1802.7982017288657,3750.1916417243383,4728.60892845377
2020-12-01,22341.58091,416176.22447486,1737.79292,63486.52313925,3765.08868,65178.31742936,5646.76993,265569.01784462,1862.7877147609604,1731.12303504522,3653.284715836568,4703.025289444013
2021-01-01,23027.28,431181.9,1744.2,64737.09,3699.54322,63157.13396262,5700.50385,266315.16164244,1872.4829853981887,1707.1603224200203,3711.56346749226,4671.782857272169
2021-02-01,22928.94,425062.76,1613.77459,60104.54440012,3445.46487,59226.6709259,5502.1859,258100.15134247,1853.8264743158647,1718.9747439189534,3724.4696237359894,4690.8657038009205
2021-03-01,27316.85,504886.45,1887.27091,72318.81689733,3763.05309,67386.40763227,6003.6797,283954.60928824,1848.2601398038207,1790.737627681729,3831.9255870546963,4729.676189891344
2021-04-01,26410.61,493663.68,1575.31597,59049.12310267,3213.23241,56183.10469861,5222.46818,254396.57897062,1869.1869669045886,1748.4917842780628,3748.3986849108114,4871.1944276627455
